total polygons,1531
0,"[1243, 289, 21, 'e']"
1,"[1369.0, 301.0, 11, 'r']"
3,"[1382.0, 237.0, 18, 'r']"
5,"[1247.0, 179.0, 14, 'r']"
9,"[1255.0, 183.0, 13, 'r']"
10,"[1285, 165, 20, 'e']"
11,"[1112.0, 414.0, 17, 'r']"
12,"[841.0, 383.0, 21, 'r']"
14,"[1441.0, 193.0, 13, 'r']"
15,"[1113.0, 557.0, 20, 'r']"
17,"[1212.0, 393.0, 14, 'r']"
18,"[1026.0, 548.0, 13, 'r']"
19,"[1079.0, 564.0, 16, 'r']"
20,"[1245.0, 262.0, 14, 'r']"
21,"[1476, 160, 24, 'e']"
22,"[1248.0, 179.0, 30, 'r']"
25,"[926.0, 85.0, 18, 'r']"
28,"[1241, 226, 28, 'e']"
30,"[1232.0, 151.0, 13, 'r']"
31,"[1206.0, 280.0, 12, 'r']"
33,"[1198.0, 335.0, 15, 'r']"
38,"[840.0, 302.0, 9, 'r']"
39,"[1384.0, 169.0, 19, 'r']"
41,"[1346.0, 475.0, 16, 'r']"
42,"[1375.0, 114.0, 16, 'r']"
43,"[1242.0, 290.0, 23, 'r']"
44,"[1425.0, 121.0, 14, 'r']"
47,"[1370.0, 514.0, 24, 'r']"
49,"[1341.0, 296.0, 20, 'r']"
50,"[926.0, 87.0, 15, 'r']"
51,"[1460.0, 115.0, 12, 'r']"
55,"[1391.0, 242.0, 14, 'r']"
57,"[1419.0, 197.0, 15, 'r']"
61,"[1416.0, 196.0, 15, 'r']"
64,"[1370.0, 512.0, 23, 'r']"
66,"[1318.0, 266.0, 15, 'r']"
71,"[1120.0, 407.0, 17, 'r']"
73,"[926.0, 90.0, 11, 'r']"
78,"[838.0, 493.0, 4, 'r']"
79,"[1379.0, 239.0, 14, 'r']"
82,"[1050.0, 486.0, 21, 'r']"
83,"[1388.0, 298.0, 29, 'r']"
85,"[1036.0, 496.0, 11, 'r']"
86,"[1411.0, 379.0, 18, 'r']"
90,"[1389, 292, 20, 'e']"
93,"[1385.0, 239.0, 13, 'r']"
95,"[1181.0, 276.0, 12, 'r']"
99,"[842.0, 90.0, 17, 'r']"
102,"[1376.0, 223.0, 14, 'r']"
103,"[1035.0, 498.0, 21, 'r']"
104,"[1360.0, 71.0, 28, 'r']"
106,"[841.0, 385.0, 23, 'r']"
109,"[1257, 539, 18, 'e']"
112,"[1360.0, 96.0, 16, 'r']"
115,"[965.0, 200.0, 8, 'r']"
116,"[1361.0, 414.0, 15, 'r']"
118,"[1439.0, 373.0, 13, 'r']"
119,"[1386.0, 170.0, 19, 'r']"
121,"[1378.0, 174.0, 13, 'r']"
122,"[1316.0, 267.0, 16, 'r']"
123,"[1224, 144, 23, 'e']"
124,"[1241, 329, 15, 'e']"
126,"[842.0, 94.0, 8, 'r']"
128,"[1207.0, 485.0, 18, 'r']"
129,"[1234.0, 130.0, 14, 'r']"
131,"[1780.0, 346.0, 27, 'r']"
132,"[1394, 102, 6, 'e']"
134,"[1364.0, 297.0, 14, 'r']"
135,"[1377.0, 179.0, 11, 'r']"
136,"[1756.0, 340.0, 19, 'r']"
140,"[899.0, 98.0, 16, 'r']"
142,"[1201, 337, 32, 'e']"
143,"[1510.0, 125.0, 21, 'r']"
145,"[1380.0, 79.0, 17, 'r']"
146,"[1232.0, 162.0, 13, 'r']"
147,"[926.0, 88.0, 12, 'r']"
149,"[1358.0, 411.0, 16, 'r']"
150,"[1348.0, 301.0, 10, 'r']"
154,"[1234, 281, 27, 'e']"
155,"[1235.0, 149.0, 21, 'r']"
157,"[927, 89, 18, 'e']"
159,"[1359.0, 419.0, 17, 'r']"
160,"[1364.0, 422.0, 15, 'r']"
161,"[1373.0, 71.0, 16, 'r']"
162,"[1376.0, 115.0, 14, 'r']"
163,"[1271.0, 146.0, 15, 'r']"
165,"[1255.0, 538.0, 23, 'r']"
167,"[1217.0, 338.0, 14, 'r']"
169,"[1224.0, 152.0, 23, 'r']"
171,"[1248, 264, 12, 'e']"
172,"[1325.0, 301.0, 16, 'r']"
175,"[1108.0, 517.0, 16, 'r']"
176,"[1236.0, 263.0, 20, 'r']"
177,"[862.0, 496.0, 15, 'r']"
179,"[1189.0, 443.0, 18, 'r']"
181,"[1246.0, 229.0, 13, 'r']"
183,"[1382.0, 235.0, 16, 'r']"
184,"[1391, 241, 34, 'e']"
186,"[1747.0, 350.0, 22, 'r']"
187,"[1245.0, 155.0, 17, 'r']"
188,"[1036.0, 494.0, 13, 'r']"
189,"[887.0, 314.0, 21, 'r']"
190,"[1366.0, 561.0, 16, 'r']"
191,"[1240.0, 294.0, 18, 'r']"
195,"[1396.0, 588.0, 16, 'r']"
196,"[1331.0, 351.0, 12, 'r']"
199,"[1411.0, 374.0, 18, 'r']"
200,"[1238.0, 262.0, 15, 'r']"
201,"[1249.0, 148.0, 20, 'r']"
203,"[1636.0, 229.0, 14, 'r']"
205,"[1363.0, 303.0, 12, 'r']"
206,"[965, 201, 9, 'e']"
209,"[1224.0, 152.0, 13, 'r']"
214,"[1266.0, 166.0, 12, 'r']"
216,"[1190.0, 275.0, 14, 'r']"
217,"[1375.0, 71.0, 23, 'r']"
218,"[1359.0, 75.0, 19, 'r']"
219,"[1380.0, 78.0, 14, 'r']"
222,"[1752.0, 345.0, 20, 'r']"
224,"[1034.0, 584.0, 37, 'r']"
227,"[1170.0, 451.0, 16, 'r']"
230,"[1040.0, 507.0, 21, 'r']"
232,"[1377.0, 243.0, 13, 'r']"
235,"[862.0, 466.0, 17, 'r']"
237,"[1091.0, 443.0, 13, 'r']"
238,"[1392.0, 178.0, 17, 'r']"
239,"[1228, 131, 18, 'e']"
240,"[1365.0, 399.0, 14, 'r']"
242,"[1365, 560, 18, 'e']"
243,"[1232.0, 148.0, 15, 'r']"
245,"[1181.0, 275.0, 13, 'r']"
246,"[1202.0, 369.0, 13, 'r']"
247,"[1365.0, 423.0, 17, 'r']"
250,"[1247, 156, 13, 'e']"
251,"[1286.0, 130.0, 26, 'r']"
252,"[1212.0, 425.0, 19, 'r']"
255,"[1181.0, 274.0, 13, 'r']"
256,"[905.0, 475.0, 12, 'r']"
258,"[1180.0, 278.0, 18, 'r']"
259,"[1259.0, 120.0, 13, 'r']"
262,"[1300.0, 460.0, 21, 'r']"
263,"[1261, 183, 14, 'e']"
265,"[1229.0, 82.0, 12, 'r']"
266,"[1390, 188, 26, 'e']"
267,"[920.0, 254.0, 14, 'r']"
268,"[1202, 331, 15, 'e']"
269,"[1330.0, 265.0, 16, 'r']"
270,"[1383.0, 71.0, 19, 'r']"
272,"[1421.0, 100.0, 19, 'r']"
276,"[1400, 72, 12, 'e']"
277,"[1024.0, 550.0, 15, 'r']"
279,"[988.0, 65.0, 11, 'r']"
280,"[856.0, 150.0, 20, 'r']"
281,"[1022.0, 550.0, 14, 'r']"
282,"[1216.0, 264.0, 19, 'r']"
283,"[1378.0, 218.0, 12, 'r']"
285,"[962.0, 200.0, 11, 'r']"
289,"[1363.0, 538.0, 13, 'r']"
290,"[1218.0, 448.0, 16, 'r']"
291,"[1409.0, 370.0, 16, 'r']"
295,"[926.0, 86.0, 12, 'r']"
299,"[1281.0, 166.0, 14, 'r']"
302,"[108.0, 541.0, 16, 'r']"
303,"[554.0, 534.0, 57, 'r']"
304,"[461.0, 483.0, 12, 'r']"
305,"[257.0, 790.0, 22, 'r']"
306,"[72.0, 518.0, 12, 'r']"
307,"[363.0, 686.0, 18, 'r']"
308,"[119.0, 745.0, 25, 'r']"
309,"[465.0, 346.0, 17, 'r']"
311,"[795.0, 182.0, 13, 'r']"
313,"[467.0, 348.0, 14, 'r']"
314,"[753.0, 241.0, 23, 'r']"
315,"[53, 641, 19, 'e']"
317,"[367.0, 1009.0, 5, 'r']"
318,"[371.0, 962.0, 15, 'r']"
321,"[418.0, 367.0, 27, 'r']"
322,"[466.0, 344.0, 15, 'r']"
325,"[497.0, 438.0, 16, 'r']"
326,"[109.0, 540.0, 23, 'r']"
327,"[554.0, 533.0, 15, 'r']"
329,"[703.0, 306.0, 14, 'r']"
330,"[692.0, 456.0, 12, 'r']"
331,"[465.0, 347.0, 17, 'r']"
332,"[466.0, 344.0, 23, 'r']"
335,"[363.0, 687.0, 16, 'r']"
336,"[248, 893, 16, 'e']"
337,"[372.0, 962.0, 16, 'r']"
338,"[782.0, 338.0, 23, 'r']"
340,"[510.0, 326.0, 16, 'r']"
341,"[746, 376, 40, 'e']"
342,"[54.0, 637.0, 34, 'r']"
343,"[364.0, 686.0, 19, 'r']"
344,"[512.0, 434.0, 12, 'r']"
345,"[113.0, 693.0, 30, 'r']"
346,"[791.0, 179.0, 15, 'r']"
347,"[557.0, 534.0, 20, 'r']"
348,"[752.0, 240.0, 23, 'r']"
350,"[121.0, 745.0, 30, 'r']"
351,"[107.0, 542.0, 19, 'r']"
352,"[465.0, 346.0, 17, 'r']"
353,"[132.0, 725.0, 25, 'r']"
354,"[299.0, 844.0, 26, 'r']"
358,"[624.0, 483.0, 27, 'r']"
359,"[192.0, 854.0, 13, 'r']"
363,"[783.0, 337.0, 16, 'r']"
365,"[505.0, 326.0, 16, 'r']"
366,"[630, 376, 19, 'e']"
367,"[341.0, 980.0, 27, 'r']"
368,"[465.0, 343.0, 22, 'r']"
370,"[680.0, 294.0, 14, 'r']"
372,"[231.0, 615.0, 50, 'r']"
